tbg_player_id,transfermarkt_id,display_name,full_name,short_name,aliases,nickname,age,status,nationality,position,position_group,current_club,current_competition_code,market_value_eur,tbg_rating,underlying_ability_rating,effective_match_rating,current_state_total_modifier,smw_equivalent_rating,rating_band,assignment_status,tbg_club_name,profile_url
tbg-tm-01200427,1200427,Alexis Vossah,Alexis Vossah,A. Vossah,A. Vossah,,18,active,France; Togo,Central Midfield,MID,FC Toulouse,FR1,15000000,85,85,85,0,85,senior_squad,unsigned,,https://www.transfermarkt.com/alexis-vossah/profil/spieler/1200427
tbg-tm-01231993,1231993,Adrian Lahdo,Adrian Adriano Lahdo,A. Lahdo,A. Lahdo,,18,active,Sweden; Lebanon,Central Midfield,MID,Como 1907,IT1,10000000,85,85,85,0,85,senior_squad,unsigned,,https://www.transfermarkt.com/adrian-lahdo/profil/spieler/1231993
tbg-tm-01275068,1275068,Kauã Prates,Kauã Prates de Almeida,Kauã Prates,Kauã Prates,,18,active,Brazil,Left-Back,DEF,Borussia Dortmund,L1,10000000,85,85,85,0,85,senior_squad,unsigned,,https://www.transfermarkt.com/kaua-prates/profil/spieler/1275068
tbg-tm-01189172,1189172,Ruud Nijstad,Ruud Nijstad,R. Nijstad,R. Nijstad,,18,active,Netherlands,Centre-Back,DEF,FC Twente Enschede,NL1,10000000,84,84,84,0,84,senior_squad,unsigned,,https://www.transfermarkt.com/ruud-nijstad/profil/spieler/1189172
tbg-tm-01170286,1170286,Darryl Bakola,Darryl Bakola,D. Bakola,D. Bakola,,18,active,France; Congo,Attacking Midfield,MID,US Sassuolo,IT1,8000000,84,84,84,0,84,senior_squad,unsigned,,https://www.transfermarkt.com/darryl-bakola/profil/spieler/1170286
tbg-tm-01054470,1054470,Julian Hall,Julian Zakrzewski Hall,Julian Hall,Julian Hall,,18,active,United States; Poland,Centre-Forward,ATT,Red Bull New York,MLS1,8000000,84,84,84,0,84,senior_squad,unsigned,,https://www.transfermarkt.com/julian-hall/profil/spieler/1054470
tbg-tm-01279984,1279984,Lucas Herrington,Lucas Herrington,L. Herrington,L. Herrington,,18,active,Australia; Germany,Centre-Back,DEF,Hull City,GB1,8000000,84,84,84,0,84,senior_squad,unsigned,,https://www.transfermarkt.com/lucas-herrington/profil/spieler/1279984
tbg-tm-01500420,1500420,Bruno Braga Ramos,Bruninho,Bruninho,Bruninho,Bruninho,18,active,Brazil,Right Winger,ATT,Shakhtar Donetsk,UKR1,7000000,83,83,83,0,83,development,unsigned,,https://www.transfermarkt.com/bruninho/profil/spieler/1500420
tbg-tm-01058354,1058354,Matteo Palma,Matteo Palma,M. Palma,M. Palma,,18,active,Germany; Italy,Centre-Back,DEF,Udinese Calcio,IT1,6500000,84,84,84,0,84,senior_squad,unsigned,,https://www.transfermarkt.com/matteo-palma/profil/spieler/1058354
tbg-tm-01134199,1134199,Daniel Banjaqui,Daniel Armando Fonseca da Silva Banjaqui,D. Banjaqui,D. Banjaqui,,18,active,Portugal; Guinea-Bissau,Right-Back,DEF,SL Benfica B,PO2,5000000,83,83,83,0,83,development,unsigned,,https://www.transfermarkt.com/daniel-banjaqui/profil/spieler/1134199
